surface,channel,utm_source,utm_medium,utm_campaign,utm_content,utm_term,landing_path,primary_event,notes
meta_paid,Meta feed,meta,paid_social,willbuddy_launch_20260627,guardianship_feed_static_a,,/?utm_source=meta&utm_medium=paid_social&utm_campaign=willbuddy_launch_20260627&utm_content=guardianship_feed_static_a,signup_cta_clicked,Guardianship anxiety angle; use with social card or parent/couch creative.
meta_paid,Meta reels,meta,paid_social,willbuddy_launch_20260627,voice_first_reel_15s_a,,/?utm_source=meta&utm_medium=paid_social&utm_campaign=willbuddy_launch_20260627&utm_content=voice_first_reel_15s_a,signup_cta_clicked,15 second voice-first demo.
meta_paid,Meta stories,meta,paid_social,willbuddy_launch_20260627,not_forms_story_static_a,,/?utm_source=meta&utm_medium=paid_social&utm_campaign=willbuddy_launch_20260627&utm_content=not_forms_story_static_a,signup_cta_clicked,9:16 story frame with form-fatigue hook.
meta_paid,Meta feed,meta,paid_social,willbuddy_launch_20260627,attorney_packet_feed_static_a,,/?utm_source=meta&utm_medium=paid_social&utm_campaign=willbuddy_launch_20260627&utm_content=attorney_packet_feed_static_a,signup_cta_clicked,Prep-before-attorney angle.
google_search,Google Search,google,paid_search,willbuddy_launch_20260627,rsa_guardianship_a,texas guardianship will,/?utm_source=google&utm_medium=paid_search&utm_campaign=willbuddy_launch_20260627&utm_content=rsa_guardianship_a&utm_term=texas%20guardianship%20will,signup_cta_clicked,Search intent around naming guardians.
google_search,Google Search,google,paid_search,willbuddy_launch_20260627,rsa_estate_prep_a,texas estate planning documents,/?utm_source=google&utm_medium=paid_search&utm_campaign=willbuddy_launch_20260627&utm_content=rsa_estate_prep_a&utm_term=texas%20estate%20planning%20documents,signup_cta_clicked,Texas estate planning prep intent.
google_search,Google Search,google,paid_search,willbuddy_launch_20260627,rsa_power_of_attorney_a,texas power of attorney form,/?utm_source=google&utm_medium=paid_search&utm_campaign=willbuddy_launch_20260627&utm_content=rsa_power_of_attorney_a&utm_term=texas%20power%20of%20attorney%20form,signup_cta_clicked,POA intent; keep copy as draft prep for attorney review.
youtube,YouTube Shorts,youtube,paid_video,willbuddy_launch_20260627,voice_first_short_30s_a,,/?utm_source=youtube&utm_medium=paid_video&utm_campaign=willbuddy_launch_20260627&utm_content=voice_first_short_30s_a,signup_cta_clicked,30 second walkthrough concept.
organic_facebook,Facebook page,facebook,organic_social,willbuddy_launch_20260627,founder_note_guardianship_a,,/?utm_source=facebook&utm_medium=organic_social&utm_campaign=willbuddy_launch_20260627&utm_content=founder_note_guardianship_a,signup_cta_clicked,Founder-style post for parent audience.
organic_instagram,Instagram feed,instagram,organic_social,willbuddy_launch_20260627,carousel_five_docs_a,,/?utm_source=instagram&utm_medium=organic_social&utm_campaign=willbuddy_launch_20260627&utm_content=carousel_five_docs_a,signup_cta_clicked,Five-document carousel.
organic_x,X,x,organic_social,willbuddy_launch_20260627,thread_estate_prep_a,,/?utm_source=x&utm_medium=organic_social&utm_campaign=willbuddy_launch_20260627&utm_content=thread_estate_prep_a,signup_cta_clicked,Short thread on finishing the hard conversation.
newsletter,Partner newsletter,newsletter,email,willbuddy_launch_20260627,partner_parent_newsletter_a,,/?utm_source=newsletter&utm_medium=email&utm_campaign=willbuddy_launch_20260627&utm_content=partner_parent_newsletter_a,signup_cta_clicked,Parent/community newsletter copy.
partner,Attorney partner,partner,referral,willbuddy_launch_20260627,attorney_referral_packet_a,,/?utm_source=partner&utm_medium=referral&utm_campaign=willbuddy_launch_20260627&utm_content=attorney_referral_packet_a,signup_cta_clicked,Attorney partnership handoff link.
community,Parent group,community,organic_social,willbuddy_launch_20260627,local_parent_group_a,,/?utm_source=community&utm_medium=organic_social&utm_campaign=willbuddy_launch_20260627&utm_content=local_parent_group_a,signup_cta_clicked,Non-spammy community post; use only where posting is allowed.
